lowercase_slug	bcp47	endonym	name_en	iso639_1	iso639_3	script	region	direction	L1	L2	L1+L2
af-001	af-001	Afrikaans	Afrikaans	af	afr	Latn	001	ltr	7200000	10300000	17500000
am-001	am-001	አማርኛ	Amharic	am	amh	Ethi	001	ltr	33700000	25100000	58800000
ar-001	ar-001	العربية	Arabic	ar	ara	Arab	001	rtl	411000000	70000000	480000000
ar-eg	ar-EG	العربية (مصر)	Arabic (Egypt)	ar	ara	Arab	EG	rtl	84000000	35000000	119000000
ar-sa	ar-SA	العربية (السعودية)	Arabic (Saudi Arabia)	ar	ara	Arab	SA	rtl	27000000	3000000	30000000
as-001	as-001	অসমীয়া	Assamese	as	asm	Beng	001	ltr	15000000	8300000	23300000
az-001	az-001	Azərbaycan dili	Azerbaijani	az	aze	Latn	001	ltr	23000000	8000000	31000000
be-001	be-001	Беларуская	Belarusian	be	bel	Cyrl	001	ltr	5000000	1300000	6300000
bg-001	bg-001	Български	Bulgarian	bg	bul	Cyrl	001	ltr	6800000	1200000	7900000
bh-001	bh-001	भोजपुरी	Bhojpuri		bho	Deva	001	ltr	52000000	5000000	57000000
bn-001	bn-001	বাংলা	Bengali	bn	ben	Beng	001	ltr	242000000	43000000	284000000
bn-bd	bn-BD	বাংলা (বাংলাদেশ)	Bengali (Bangladesh)	bn	ben	Beng	BD	ltr	165000000	5000000	170000000
bo-001	bo-001	བོད་སྐད་	Tibetan	bo	bod	Tibt	001	ltr	5000000	1000000	6000000
bs-001	bs-001	Bosanski	Bosnian	bs	bos	Latn	001	ltr	3100000	500000	3600000
co-001	co-001	Corsu	Corsican	co	cos	Latn	001	ltr	150000	100000	250000
cs-001	cs-001	Čeština	Czech	cs	ces	Latn	001	ltr	9800000	2700000	12000000
cy-001	cy-001	Cymraeg	Welsh	cy	cym	Latn	001	ltr	562000	338000	900000
da-001	da-001	Dansk	Danish	da	dan	Latn	001	ltr	5600000	300000	5900000
de-001	de-001	Deutsch	German	de	deu	Latn	001	ltr	95000000	80000000	175000000
de-de	de-DE	Deutsch (Deutschland)	German (Germany)	de	deu	Latn	DE	ltr	74000000	5600000	80000000
el-001	el-001	Ελληνικά	Greek	el	ell	Grek	001	ltr	13500000	3000000	16500000
en-001	en-001	English	English	en	eng	Latn	001	ltr	372000000	1121000000	1493000000
en-150	en-150	English (Europe)	English (Europe)	en	eng	Latn	150	ltr	67000000	213000000	280000000
en-au	en-AU	English (Australia)	English (Australia)	en	eng	Latn	AU	ltr	18000000	7000000	25000000
en-ca	en-CA	English (Canada)	English (Canada)	en	eng	Latn	CA	ltr	20000000	10000000	30000000
en-gb	en-GB	English (Great Britain)	English (Great Britain)	en	eng	Latn	GB	ltr	59300000	4400000	63700000
en-us	en-US	English (United States)	English (United States)	en	eng	Latn	US	ltr	244000000	55000000	299000000
eo-001	eo-001	Esperanto	Esperanto	eo	epo	Latn	001	ltr	2000	2000000	2002000
es-001	es-001	Español	Spanish	es	spa	Latn	001	ltr	519000000	117000000	636000000
es-419	es-419	Español (Latinoamérica)	Spanish (Latin America)	es	spa	Latn	419	ltr	400000000	25000000	425000000
es-es	es-ES	Español (España)	Spanish (Spain)	es	spa	Latn	ES	ltr	44000000	4000000	48000000
es-mx	es-MX	Español (México)	Spanish (Mexico)	es	spa	Latn	MX	ltr	120000000	8000000	128000000
et-001	et-001	Eesti	Estonian	et	est	Latn	001	ltr	1100000	200000	1300000
eu-001	eu-001	Euskara	Basque	eu	eus	Latn	001	ltr	750000	250000	1000000
fa-001	fa-001	فارسی	Persian	fa	fas	Arab	001	rtl	91000000	35000000	127000000
fi-001	fi-001	Suomi	Finnish	fi	fin	Latn	001	ltr	5200000	500000	5700000
